No,F stat.,Strain stat,Stress stat,Lo,Lm,F dyn.,Strain dyn,Stress dyn,Time,f,T,E',E'',|E*|,tan ä,F cont.,T2,T3,|J*|
 ,N,%,MPa,mm,mm,N,%,MPa,sec,Hz,°C,MPa,MPa,MPa,,N,°C,°C,1/MPa
138,1.06894,0.178732,0.466447,0.845688,0.798026,0.0341759,0.0471315,0.0149131,2.31E+04,1.69305,139.7,29.5145,11.4054,31.6416,0.386436,0.980123,  ---  ,  ---  ,0.031604
139,1.07089,0.179348,0.467297,0.843735,0.795909,0.0392906,0.0470344,0.017145,2.32E+04,2.98129,139.8,33.8348,13.5631,36.452,0.400862,0.983449,  ---  ,  ---  ,0.0274333
140,1.06894,0.178605,0.466447,0.844531,0.796903,0.0456596,0.047124,0.0199242,2.32E+04,5.24974,139.4,39.0036,16.32,42.2803,0.418423,0.984231,  ---  ,  ---  ,0.0236517
141,1.07089,0.17361,0.467297,0.842271,0.795975,0.0541287,0.0483787,0.0236198,2.32E+04,9.24425,139.6,44.913,19.1436,48.8227,0.426238,0.976211,  ---  ,  ---  ,0.0204823
142,1.06796,0.177412,0.466019,0.845247,0.797937,0.0613363,0.0470479,0.0267649,2.32E+04,16.2782,139.7,52.1426,22.748,56.8887,0.436266,0.976798,  ---  ,  ---  ,0.0175782
143,1.07872,0.17427,0.470714,0.836447,0.789975,0.0709342,0.0469226,0.0309531,2.33E+04,28.6642,139.7,60.7615,25.6826,65.9663,0.422679,0.986383,  ---  ,  ---  ,0.0151593
144,1.07578,0.17841,0.469431,0.840484,0.792908,0.0825824,0.0473137,0.036036,2.33E+04,50,139.6,70.5251,28.76,76.1638,0.407798,0.980123,  ---  ,  ---  ,0.0131296
145,0.914394,0.284269,0.399008,1.03951,0.963707,0.0131893,0.0471592,5.76E-03,2.41E+04,0.1,149.9,12.1864,0.655529,12.204,0.0537918,0.825189,  ---  ,  ---  ,0.0819401
146,0.950584,0.186229,0.4148,0.957487,0.907826,0.0134439,0.0471934,5.87E-03,2.46E+04,0.17609,150.1,12.3904,0.999287,12.4306,0.0806503,0.901483,  ---  ,  ---  ,0.0804466
147,0.989709,0.175429,0.431873,0.903522,0.856741,0.0137903,0.0471401,6.02E-03,2.48E+04,0.31008,150,12.7013,1.27647,12.7653,0.100499,0.941585,  ---  ,  ---  ,0.0783374
148,1.03568,0.176411,0.451933,0.850818,0.803775,0.0144035,0.0471934,6.29E-03,2.49E+04,0.54601,150,13.1736,1.95531,13.3179,0.148426,0.985796,  ---  ,  ---  ,0.0750869
149,1.04546,0.178811,0.456201,0.836478,0.788795,0.0154361,0.0470865,6.74E-03,2.50E+04,0.96147,149.9,14.0382,2.75031,14.3051,0.195916,0.984818,  ---  ,  ---  ,0.0699053
150,1.0484,0.17901,0.457484,0.831457,0.783721,0.0164406,0.0471611,7.17E-03,2.51E+04,1.69305,149.9,14.8018,3.50803,15.2119,0.236999,0.985405,  ---  ,  ---  ,0.0657382
151,1.05035,0.178204,0.458335,0.825351,0.77783,0.0183796,0.0472481,8.02E-03,2.51E+04,2.98129,149.9,16.2609,4.87017,16.9746,0.299501,0.984231,  ---  ,  ---  ,0.0589116
152,1.04937,0.175751,0.457907,0.824722,0.777855,0.02027,0.046989,8.85E-03,2.52E+04,5.24974,150,17.6731,6.48028,18.8237,0.366674,0.988731,  ---  ,  ---  ,0.0531244
153,1.04742,0.173494,0.457056,0.825166,0.778901,0.0234622,0.04773,0.010238,2.52E+04,9.24425,149.8,19.9398,7.9059,21.4499,0.396489,0.987753,  ---  ,  ---  ,0.0466202
154,1.04644,0.17847,0.456628,0.826506,0.778914,0.0266739,0.0471866,0.0116395,2.52E+04,16.2782,150.1,22.6029,9.87773,24.667,0.437012,0.979732,  ---  ,  ---  ,0.0405401
155,1.05035,0.17802,0.458335,0.822343,0.774871,0.0313525,0.0472699,0.0136811,2.52E+04,28.6642,150.2,26.2371,12.2181,28.9425,0.465682,0.987361,  ---  ,  ---  ,0.0345513
156,1.0484,0.178665,0.457484,0.823507,0.775863,0.0365404,0.0461212,0.0159449,2.52E+04,50,149.9,31.1211,15.0559,34.5717,0.483783,0.986383,  ---  ,  ---  ,0.0289254
