,,,,,,,E',,,,,,,,,,,,,
,f,T,E',E'',tan del,,T(°C),25,35,45,56,66,77,87,97,108,118,129,139,150
,9.24425,66.7,6.16E+02,40.43456,0.06569,,,,,,,,,,,,,,,
,16.2782,66.7,6.20E+02,42.28689,0.0682,,,,,,,,,,,,,,,
,28.6642,66.6,6.22E+02,42.78874,0.0688,,,,,,,,,,,,,,,
,50,66.7,6.16E+02,44.64143,0.07247,,,,,,,,,,,,,,,
,0.1,76.9,465.901,58.1168,0.124741,,,,,,,,,,,,,,,
,0.17609,77,481.482,56.4142,0.117168,,,,,,,,,,,,,,,
,0.31008,77,497.374,54.0753,0.10872,,,,,,,,,,,,,,,
,0.54601,77.1,5.11E+02,51.75164,0.10129,,,,,,,,,,,,,,,
,0.96147,77.1,5.23E+02,50.20019,0.09591,,,,,,,,,,,,,,,
,1.69305,77.1,5.34E+02,48.18658,0.0903,,,,,,,,,,,,,,,
,2.98129,77.1,5.43E+02,46.82336,0.08624,,,,,,,,,,,,,,,
,5.24974,77,5.51E+02,45.42068,0.08238,,,,,,,,,,,,,,,
,9.24425,77.1,5.61E+02,45.39081,0.08094,,,,,,,,,,,,,,,
,16.2782,77,5.66E+02,44.72233,0.07899,,,,,,,,,,,,,,,
,28.6642,77.1,5.70E+02,45.27995,0.07947,,,,,,,,,,,,,,,
,50,77.2,5.66E+02,45.99612,0.08134,,,,,,,,,,,,,,,
,0.1,87.3,293.799,63.1521,0.21495,,,,,,,,,,,,,,,
,0.17609,87.5,335.186,62.3131,0.185906,,,,,,,,,,,,,,,
,0.31008,87.5,374.861,61.5655,0.164236,,,,,,,,,,,,,,,
,0.54601,87.5,405.73,61.3282,0.151155,,,,,,,,,,,,,,,
,0.96147,87.5,429.353,59.7515,0.139166,,,,,,,,,,,,,,,
,1.69305,87.4,449.055,57.6364,0.12835,,,,,,,,,,,,,,,
,2.98129,87.6,464.084,55.468,0.119522,,,,,,,,,,,,,,,
,5.24974,87.5,479.038,53.3982,0.11147,,,,,,,,,,,,,,,
,9.24425,87.4,491.745,51.0365,0.103786,,,,,,,,,,,,,,,
,16.2782,87.5,5.03E+02,49.6311,0.09871,,,,,,,,,,,,,,,
,28.6642,87.6,5.11E+02,48.07772,0.09407,,,,,,,,,,,,,,,
,50,87.5,5.07E+02,47.77693,0.09415,,,,,,,,,,,,,,,
,0.1,97.7,183.506,60.0728,0.327362,,,,,,,,,,,,,,,
,0.17609,97.9,235.412,61.7153,0.262159,,,,,,,,,,,,,,,
,0.31008,97.9,276.511,62.3304,0.225418,,,,,,,,,,,,,,,
,0.54601,97.9,312.323,61.9501,0.198352,,,,,,,,,,,,,,,
,0.96147,97.8,339.492,61.3462,0.1807,,,,,,,,,,,,,,,
,1.69305,97.8,361.169,59.5575,0.164902,,,,,,,,,,,,,,,
,2.98129,98.1,379.898,57.3719,0.151019,,,,,,,,,,,,,,,
,5.24974,97.9,396.268,54.6248,0.137848,,,,,,,,,,,,,,,
,9.24425,97.8,411.765,52.6378,0.127835,,,,,,,,,,,,,,,
,16.2782,98,424.891,50.9538,0.119922,,,,,,,,,,,,,,,
,28.6642,98,435.38,49.945,0.114716,,,,,,,,,,,,,,,
,50,97.8,437.489,47.1472,0.107768,,,,,,,,,,,,,,,
,0.1,108.3,114.649,44.7965,0.390727,,,,,,,,,,,,,,,
,0.17609,108.4,148.878,49.3102,0.331212,,,,,,,,,,,,,,,
